NAME;TITLE;AUTHOR;MANUFACTURER;PART_MASS;PART_COST;PART_CRASHTOLERANCE;PART_MAXTEMP;MISSILE_THRUST;MISSILE_BOOSTTIME;MISSILE_CRUISETHRUST;MISSILE_CRUISETIME;MISSILE_MAXTURNRATEDPS;MISSILE_BLASTPOWER;MISSILE_BLASTHEAT;MISSILE_BLASTRADIUS;MISSILE_GUIDANCEACTIVE;MISSILE_HOMINGTYPE;MISSILE_TARGETINGTYPE;MISSILE_MINLAUNCHSPEED;MISSILE_MINSTATICLAUNCHRANGE;MISSILE_MAXSTATICLAUNCHRANGE;MISSILE_OPTIMUMAIRSPEED;CRUISE_TERMINALMANEUVERING; CRUISE_TERMINALGUIDANCETYPE; CRUISE_TERMINALGUIDANCEDISTANCE;RADAR_ACTIVERADARRANGE;RADAR_RADARLOAL;TRACK_MAXOFFBORESIGHT;TRACK_LOCKEDSENSORFOV;HEAT_HEATTHRESHOLD;LASER_BEAMCORRECTIONFACTOR; LASER_BEAMCORRECTIONDAMPING
ANM30;WW2 AN-M64 100lb Bomb;VintageXP;Roaken Armory;0.041;800;12;1200;0;2.2;0;80;20;5.1;-1;18.04;False;none;none;0;10;5000;220;False;;0;6000;False;360;2.5;150;0;0
ANM57;WW2 AN-M64 250lb Bomb;VintageXP;Roaken Armory;0.112;800;12;1200;0;2.2;0;80;20;13.95;-1;29.81;False;none;none;0;10;5000;220;False;;0;6000;False;360;2.5;150;0;0
ANM64;WW2 AN-M64 500lb Bomb;VintageXP;Roaken Armory;0.213;800;12;1200;0;2.2;0;80;20;26.54;-1;41.11;False;none;none;0;10;5000;220;False;;0;6000;False;360;2.5;150;0;0
ANM65;WW2 AN-M65 1000lb Bomb;VintageXP;Roaken Armory;0.445;800;12;1200;0;2.2;0;80;20;55.44;-1;59.42;False;none;none;0;10;5000;220;False;;0;6000;False;360;2.5;150;0;0
WW2HVARRocket;WW2 Rocket HVAR;VintageXP;Roaken Armory;0.061;650;5;1523.15;6;5;0;0;8;8;-1;5;False;agm;laser;0;400;4000;342;False;;0;6000;False;360;2.5;150;0;0
WW2RP3Rocket;WW2 Rocket RP-3;VintageXP;Roaken Armory;0.048;650;5;1523.15;5;5;0;0;8;7;-1;8;False;agm;laser;0;400;4000;342;False;;0;6000;False;360;2.5;150;0;0
bahaAgm86B;AGM-86C Cruise Missile;BahamutoD;Bahamuto Dynamics;1.15;2400;5;1523.15;70;3;11;180;28;25;-1;150;True;cruise;gps;125;700;40000;310;False;;0;6000;False;360;6;150;0;0
bahaAim120;AIM-120 AMRAAM Missile;BahamutoD;Bahamuto Dynamics;0.152;2000;5;1523.15;55;2.2;25;120;35;25;-1;150;True;aam;radar;0;500;25000;1372;False;;0;6000;True;120;7;150;0;0
AMRAAM.EMP;AMRAAM EMP Missile;BahamutoD;Bahamuto Dynamics;0.152;2000;5;1523.15;55;2.2;25;120;35;25;-1;150;True;aam;radar;0;500;25000;1372;False;;0;6000;True;120;7;150;0;0
bahaClusterBomb;CBU-87 Cluster Bomb;BahamutoD;Bahamuto Dynamics;0.467;150;5;1523.15;0;2.2;0;45;20;25;-1;150;False;none;none;0;10;5000;220;False;;0;6000;False;360;2.5;150;0;0
bahaHarm;AGM-88 HARM Missile;BahamutoD;Bahamuto Dynamics;0.355;568;5;1523.15;60;2.5;15;60;35;25;-1;150;True;agm;antirad;0;800;30000;633.33;False;antirad;30000;6000;False;65;7;150;0;0
bahaHEKV1;HE-KV-1 Missile;BahamutoD;Bahamuto Dynamics;0.14;4000;5;1523.15;12;42;0;0;25;25;-1;150;True;rcs;radar;0;500;100000;220;False;;0;40000;True;360;15;150;0;0
bahaAGM-114;AGM-114 Hellfire Missile;BahamutoD;Bahamuto Dynamics;0.05;220;5;1523.15;10;3.1;0;0;32;25;-1;150;True;agm;laser;0;500;8000;450;False;;0;6000;False;65;2;150;0;0
HellfireEMP;AGM-114R Hellfire II EMP;BahamutoD;Bahamuto Dynamics;0.05;220;5;1523.15;10;3.1;0;0;32;25;-1;150;True;agm;laser;0;500;8000;450;False;;0;6000;False;65;7;150;0;0
bahaJdamMk83;Mk83 JDAM Bomb;BahamutoD;Bahamuto Dynamics;0.46;200;5;1523.15;0;0;0;80;20;25;-1;150;True;agmballistic;gps;0;10;5000;300;False;;0;6000;False;360;2.5;150;0;0
bahaAGM-65;AGM-65 Maverick Missile;BahamutoD;Bahamuto Dynamics;0.27;400;5;1523.15;44;0.575;9.6;3.495;9;25;-1;150;True;agm;laser;0;800;5500;350;False;;0;6000;False;65;2.5;150;0;0
bahaMk82Bomb;Mk82 Bomb;BahamutoD;Bahamuto Dynamics;0.227;50;5;1523.15;0;2.2;0;80;20;25;-1;150;False;none;none;0;10;5000;220;False;;0;6000;False;360;2.5;150;0;0
bahaMk82BombBrake;Mk82 SnakeEye Bomb;BahamutoD;Bahamuto Dynamics;0.227;75;5;1523.15;0;2.2;0;45;20;25;-1;40;False;none;none;0;10;5000;220;False;;0;6000;False;360;2.5;150;0;0
bahaPac-3;PAC-3 Intercept Missile;BahamutoD;Bahamuto Dynamics;0.312;4000;5;1523.15;80;6;59;30;20;25;-1;150;True;aam;radar;0;2000;30000;1250;False;;0;15000;False;180;7;150;0;0
bahaRBS-15Cruise;RBS-15 Cruise Missile;BahamutoD;Bahamuto Dynamics;1.15;2000;5;1523.15;100;5;15;118;20;25;-1;150;True;cruise;gps;0;700;40000;310;False;;0;6000;False;360;7;150;0;0
bahaRBS-15ALCruise;RBS-15 Air launched Cruise Missile;BahamutoD;Bahamuto Dynamics;1.15;2000;5;1523.15;100;1.2;15;120;25;25;-1;150;True;cruise;gps;0;700;40000;310;False;;0;6000;False;360;7;150;0;0
bahaAim9;AIM-9 Sidewinder Missile;BahamutoD;Bahamuto Dynamics;0.085;1200;5;1523.15;22;3.5;12;30;45;25;-1;150;True;aam;heat;0;200;15000;894;False;;0;6000;False;90;6;50;0;0
StingRayBDATorpedo;Sting Ray  BDA LightWeight Torpedo;Spanner;Bahamuto Dynamics;0.2655;470;300;1523.15;47.8;2;22.2;480;40;25;-1;150;True;aam;radar;0;200;8000;45;False;;0;8000;True;270;7;150;0;0
bahaTowMissile;BGM-71 Tow Missile;BahamutoD;Bahamuto Dynamics;0.021;120;5;1523.15;24;0.2;1.6;7;20;25;-1;150;True;beamriding;laser;0;650;3750;320;False;;0;6000;False;65;2.5;150;4.5;0.0075
THERIM-116;RIM-116 Rolling Airframe Missile;Spanner/Kergan/Themorris;MalFunc Industries;0.0735;700;8;1523.15;200;0.1;10;10;45;25;-1;150;True;aam;heat;0;500;9000;630;False;;0;6000;False;180;7;30;0;0
THERIM-67B;RIM-67B Standard Missile 2 Block I.;Spanner/Kergan/Themorris;MalFunc Industries;0.35;700;8;1523.15;110;5.9;80;62;32;25;-1;150;True;aam;radar;0;1000;185000;700;False;;0;40000;True;180;7;150;0;0
AGM-12C;AGM-12C Bullpup;Toonu;Bahamuto Dynamics;0.81;2400;5;1523.15;147;3.5;20;20;3;25;-1;150;True;beamriding;laser;0;200;19000;600;False;heat;0;0;True;40;7;320;1;0.0075
AGM-28;AGM-28 Hound Dog;Toonu;Bahamuto Dynamics;4.63;2400;5;1523.15;60;6;60;900;15;25;-1;150;True;cruise;gps;125;200;100000;720;False;radar;0;200000;True;360;7;100;0;0
AGM-45;AGM-45B "Shrike";Toonu;Naval Air Weapons Station China Lake;0.177;2400;5;1523.15;36;60;0;0;15;25;-1;150;True;agm;antirad;0;200;16000;514.5;False;heat;0;0;True;60;7;320;0;0
AIM-4A;AIM-4A "Falcon";Toonu;Bahamuto Dynamics;0.061;2400;5;1523.15;16;4.7;9;6;10;25;-1;150;True;aam;radar;0;200;9700;1000;False;heat;0;0;False;10;2;320;0;0
