NAME;TITLE;AUTHOR;MANUFACTURER;PART_MASS;PART_COST;PART_CRASHTOLERANCE;PART_MAXTEMP;alwaysOn;rcsReduction;rcsReducationFactor;lockbreaker;lockbreak_strength;jammerStrength
bahaECMJammer;AN/ALQ-131 ECM Jammer;BahamutoD;Bahamuto Dynamics;0.3;600;7;1523.15;False;False;0;True;300;1200
jamm.sps141;SPS-141 Siren ECM;Toonu;Kerbal Kombat Anthology;0.3;600;7;1523.15;False;False;0;True;450;1000
PSSM;RU Plasma Stealth System Module;BahamutoD & Kerwis;Kerbal Liberation Army;0.001;60000;700;1523.15;False;True;0.4;True;2500;3500
3XR;3XR;Johnny005611;Johnny005611;5;950;600;1523.15;False;True;0;True;50;120
J10C;NMB-J10C Cockpit with DIS intake;Bingo;Kerbal Battle Field;1.2;8888;80;1200;True;True;0.9;False;0;0
SUPER-SYLPH;NMB FFR-31MR-D-SUPER SYLPH;Bingo;Kerbal Battle Field;2;8888;80;1200;True;True;0.5;False;0;0
Type-AdvancedFlanker;NMB-Type-AdvancedFlanker Cockpit;Bingo;Kerbal Battle Field;1.8;8888;80;1200;True;True;0.8;False;0;0
type-20Cockpit;NMB-type-20 Cockpit with DIS intake;Bingo;Kerbal Battle Field;2.5;8888;80;1200;True;True;0.2;False;0;0
Type-22Cockpit;Type22 cockpit with CARET intake;Bingo;Kerbal Battle Field;2;1600;80;800;True;True;0.2;False;0;5
Type-35-Cockpit;NMB-Type 35 Cockpit with DSI intake;Bingo;Kerbal Battle Field;2.2;8888;80;1200;True;True;0.4;False;0;0
Type-57-Cockpit;NMB-Type 57 Cockpit;Bingo;Kerbal Battle Field;1.6;8888;80;1200;True;True;0.3;False;0;0
jamm.spectra;Thales Spectra;Toonu;Kerbal Kombat Anthology;0.005;8800;8;1000;False;False;0;True;1100;700
jamm.l175v;L-175V Khibiny ECM;Toonu;Kerbal Kombat Anthology;0.005;8800;8;1000;False;False;0;True;700;1000
jamm.ari23246;ARI.23246/1 Sky Shadow;Toonu;Kerbal Kombat Anthology;0.005;8800;8;1000;False;False;0;True;550;700
jamm.sps161;SPS-161 Geran ECM;Toonu;Kerbal Kombat Anthology;0.005;8800;8;1000;False;False;0;True;400;700
jamm.smalta5;Smalta-V ECM System;Toonu;Kerbal Kombat Anthology;0.005;8800;8;1000;False;False;0;True;250;500
jamm.ngj;AN/ALQ-318 Next Generation Jammer;Toonu;Kerbal Kombat Anthology;0.005;8800;8;1000;False;False;0;True;1050;600
jamm.alq218;AN/ALQ-218 ECM Suite;Toonu;Kerbal Kombat Anthology;0.005;8800;8;1000;False;False;0;True;1000;700
jamm.apq181;AN/APQ-181 ECM Suite;Toonu;Kerbal Kombat Anthology;0.005;8800;8;1000;False;False;0;True;600;800
jamm.alq135;AN/ALQ-135 ECM Suite;Toonu;Kerbal Kombat Anthology;0.005;8800;8;1000;False;False;0;True;700;700
jamm.alq99;AN/ALQ-99 ECM Suite;Toonu;Kerbal Kombat Anthology;0.005;8800;8;1000;False;False;0;True;450;800
jamm.alt34;AN/ALT-34 Noise Jammer;Toonu;Kerbal Kombat Anthology;0.005;8800;8;1000;False;False;0;True;400;2000
jamm.alt28;AN/ALT-28 Noise Jammer;Toonu;Kerbal Kombat Anthology;0.005;8800;8;1000;False;False;0;True;100;2000
